ColorConsumption;Job Name;Total Printed Area;Printing Date
0.1277205;6787046_2023__9060149__4of4;0.0;2023-04-26
0.369205;6787046_2023__9060149__4of4;28.5841627987;2023-04-26
0.019926;6777993_2023__c-A-0210-b-a__1of1;1.1920505004;2023-04-26
0.0194862;6787626_2023__c-B-0070-b-m__5of5;0.0;2023-04-26
0.422907;6787626_2023__c-B-0070-b-m__5of5;26.464315412;2023-04-26
0.035946;6784037_2023__051507__5of5;2.4642826012;2023-04-26
0.2386603;6788215_2023__a-A-0428-b-a__1of1__120x80;0.0;2023-04-26
0.492257;6788215_2023__a-A-0428-b-a__1of1__120x80_1;38.5509371518;2023-04-26
0.0169004;6783780_2023__i-C-0113-b-m__1of5__45x90;0.0;2023-04-26
0.490643;6783780_2023__i-C-0113-b-m__1of5__45x90;29.3559170925;2023-04-26
0.3156318;6788849_2023__a-A-0217-ak-e__1of1__270x135;0.0;2023-04-26
0.0019535;6788113_2023__a-A-0163-b-n__5of5;0.0;2023-04-27
0.2801288;6788113_2023__a-A-0163-b-n__5of5;0.0;2023-04-27
0.5607789;6788113_2023__a-A-0163-b-n__5of5;0.0;2023-04-27
0.2111503;6789493_2023__a-A-10096-bc-a__1of1__60x60;0.0;2023-04-27
0.432155;6789493_2023__a-A-10096-bc-a__1of1__60x60;35.0460623617;2023-04-27
0.479455;6790036_2023__c-C-0084-b-a__1of1_1;32.024247012;2023-04-27
0.296842;6790184_2023__g-B-0041-b-m__1of5__40x80;17.4523186033;2023-04-27
0.517364;6789656_2023__b-A-0001-b-o__1of5;36.2712175864;2023-04-27
0.368142;6790053_2023__a-A-0735-b-a__1of1;33.5830289524;2023-04-27
0.3118086;6785333_2023__9020099__5of5__45x67,5;0.0;2023-04-28
0.284173;6785333_2023__9020099__5of5__45x67,5;17.7323854428;2023-04-28
0.541682;6791309_2023__f-C-0493-b-a__1of1;36.5099272838;2023-04-28
0.0239211;6755382_2023__21588__1of1;0.0;2023-04-28
0.599936;6792431_2023__a-C-10080-b-a__1of1;40.1585296772;2023-05-02
0.580367;6792424_2023__5723__5of5;41.368990391;2023-05-02
0.0863208;6791962_2023__g-A-10093-bc-a__1of1__40x40;0.0;2023-05-02
0.487923;6791962_2023__g-A-10093-bc-a__1of1__40x40;34.4816363766;2023-05-02
0.506895;6792070_2023__g-B-0031-b-a__1of1__135x45;31.0572574898;2023-05-02
0.2326703;6794985_2023__b-B-0095-b-a__1of1;0.0;2023-05-02
0.239676;6794985_2023__b-B-0095-b-a__1of1;0.0;2023-05-02
0.6632996;6793345_2023__k-C-0050-b-d__1of1__120x80;0.0;2023-05-02
0.3230576;6794680_2023__k-A-0154-ak-a__1of1__165x110;0.0;2023-05-02
0.143759;6794680_2023__k-A-0154-ak-a__1of1__165x110;16.9571101492;2023-05-02
0.6359294;6794467_2023__b-C-0003-b-b__1of1;0.0;2023-05-02
0.437124;6795508_2023__b-B-0071-b-m__5of5;28.676039689;2023-05-03
0.534978;6795687_2023__b-C-0196-b-c__1of1;42.2305974997;2023-05-03
0.537216;6796319_2023__k-A-0498-b-a__1of1__120x80;40.763411529;2023-05-03
0.0729237;6795103_2023__n-C-0291-ak-a__1of1__165x110;0.0;2023-05-03
0.787722;6793370_2023__p-A-0028-ak-e__1of1__200x100;51.375182724;2023-05-03
0.471993;6798577_2023__a-A-10155-b-a__1of1;38.6881476696;2023-05-04
0.657267;6798596_2023__a-A-0010-b-p__5of5__40x60;43.5516368317;2023-05-04
0.441891;6797731_2023__b-A-0273-b-o__1of5;31.7779886856;2023-05-04
0.1265843;6799657_2023__a-A-0004-b-n__5of5;0.0;2023-05-04
0.238931;6799657_2023__a-A-0004-b-n__5of5;0.0;2023-05-04
0.564311;6794117_2023__91677__9of9;41.2261443006;2023-05-04
0.3996293;6799578_2023__a-A-0785-b-a__1of1;0.0;2023-05-04
0.110541;6799578_2023__a-A-0785-b-a__1of1;0.0;2023-05-04
0.4123484;6801159_2023__b-C-0123-b-o__5of5;0.0;2023-05-04
0.51564;6796211_2023__g-C-0267-ak-e__1of1__200x100;40.8671489987;2023-05-04
0.0766459;6799273_2023__k-A-0207-ak-d__1of1__165x110;0.0;2023-05-04
0.57707;6799273_2023__k-A-0207-ak-d__1of1__165x110;38.1417642342;2023-05-04
0.634338;6791794_2023__b-A-0698-b-o__5of5__40x80;47.2316456847;2023-05-04
0.924124;6802409_2023__a-A-0331-b-d__1of1;61.694318232;2023-05-05
0.395745;6798353_2023__h-C-0004-b-d__1of1;23.9768823024;2023-05-05
0.024606;6799689_2023__a-A-0474-ak-a__1of1__165x110;2.2196606004;2023-05-05
0.049943;6799738_2023__g-C-0335-ak-a__1of1__165x110;2.2196606004;2023-05-05
0.709274;6800648_2023__g-C-0310-b-a__1of1__60x90;42.1684610904;2023-05-05
0.275546;6802071_2023__b-C-1025-b-a__1of1__90x60;21.0072234069;2023-05-05
0.3959049;6801455_2023__22273__1of3;0.0;2023-05-05
0.290062;6801455_2023__22273__1of3_1;15.8626811334;2023-05-05
0.668439;6799152_2023__c-C-0235-ak-g__1of1__170x85;51.2813283953;2023-05-05
0.017868;6798353_2023__h-C-0004-b-d__1of1;1.0872406008;2023-05-05
0.009542;DZIEWCZYNA_Z_PERŁĄ_40x60;0.2463782578;2023-05-05
0.1944404;6803094_2023__a-A-10287-bc-a__1of1__60x60;0.0;2023-05-05
0.127381;6803094_2023__a-A-10287-bc-a__1of1__60x60_1;10.5198185874;2023-05-05
0.1094789;6803130_2023__c-B-0655-b-a__1of1;7.470151302;2023-05-05
0.0422884;6799593_2023__5619__1of5;2.6796080988;2023-05-05
0.484721;6801043_2023__d-C-0165-b-b__1of1;39.339460691;2023-05-07
0.318783;6804215_2023__g-A-0289-b-m__5of5__40x80;24.2253117968;2023-05-07
0.256228;6803355_2023__g-C-0329-ak-e__1of1__160x80;16.9946666988;2023-05-07
0.64137;6801128_2023__21913__3of3;54.4651838504;2023-05-07
0.290756;6805430_2023__a-A-0386-b-a__1of1;16.2602737072;2023-05-07
0.518545;6805196_2023__i-C-0114-b-m__5of5__45x90;32.3408979922;2023-05-07
0.259304;6797060_2023__c-B-0358-b-e__1of3__45x90;21.7667575908;2023-05-08
0.394203;6805501_2023__k-A-0057-b-b__1of1__120x80;25.1946021961;2023-05-08
0.005861;2018.04.01_PRINT_TEST_AdobeRGB_70,4x50,4_2;0.0;2023-05-08
0.1123726;6806700_2023__a-A-10456-b-a__1of1;0.0;2023-05-08
0.199802;6806700_2023__a-A-10456-b-a__1of1_0;15.4135562075;2023-05-08
0.266657;6806400_2023__c-C-0462-b-a__1of1_0;19.5837107868;2023-05-08
0.327689;6806689_2023__b-C-0184-b-b__1of1;22.3041623976;2023-05-08
0.4687026;6807706_2023__Bridgeman_60960__1of1;0.0;2023-05-08
0.417934;6803599_2023__c-B-0320-ak-e__1of1__250x125;29.6638315985;2023-05-08
0.179739;6806447_2023__c-C-0177-b-o__1of5__45x90;8.9888463003;2023-05-08
0.088614;6807407_2023__l-A-0033-ak-e__1of1__160x80;8.8736755998;2023-05-08
0.574481;6800057_2023__h-B-0136-b-a__1of1;40.2908603112;2023-05-08
0.638178;6803700_2023__AKG_2-R43-P2-1587__1of1;42.8887605396;2023-05-08
0.502412;6805910_2023__c-C-0179-ak-a__1of1__165x110;40.739563395;2023-05-08
0.271073;6808694_2023__a-A-10014-b-a__1of1__90x60;20.4997175009;2023-05-08
0.454149;6810259_2023__a-A-0672-b-a__1of1;36.6491243208;2023-05-09
0.457816;6809966_2023__AKG_2-R42-K26-1480-30-B__1of1;32.3847577828;2023-05-09
0.551144;6810499_2023__a-A-0415-b-a__1of1;39.8751965766;2023-05-09
0.703318;6805857_2023__k-A-0468-b-m__5of5__40x80;42.7009563829;2023-05-10
0.0695446;6811416_2023__b-A-0339-b-a__1of1;0.0;2023-05-10
0.4728567;6811416_2023__b-A-0339-b-a__1of1;0.0;2023-05-10
0.292574;6811245_2023__b-C-0656-b-a__1of1__90x60;22.0003499977;2023-05-10
0.0982997;6803721_2023__a-A-0661-ak-e__1of1__270x135;6.5771591996;2023-05-10
0.0914881;6811401_2023__k-C-0048-v-a__1of1;9.5919701331;2023-05-10
0.0151013;6799577_2023__a-A-0920-b-a__1of1;1.1920505004;2023-05-10
0.05511;6810051_2023__k-A-0380-p-a__1of1;3.9589698988;2023-05-10
0.0677349;6811651_2023__a-A-0468-b-a__1of1;0.0;2023-05-10
0.460592;6811651_2023__a-A-0468-b-a__1of1;31.9774517712;2023-05-10
0.3736218;6811231_2023__AKG_5EN-M8-A1840__1of1;0.0;2023-05-10
0.110389;6808988_2023__g-C-0269-ak-e__1of1__270x135;4.2593188528;2023-05-10
0.098265;Untitled_1_2;3.787916;2023-05-10
0.110335;6808988_2023__g-C-0269-ak-e__1of1__270x135;4.2569200172;2023-05-10
0.128787;6812279_2023__b-C-0656-b-a__1of1;8.1652035328;2023-05-10
0.409073;6812555_2023__020110-157__1of5;27.7665493338;2023-05-11
0.168847;6812405_2023__b-B-0240-b-a__1of1;14.6561769775;2023-05-11
0.241645;6813048_2023__a-C-10080-b-a__1of1;18.5339204924;2023-05-11
0.3511805;6812434_2023__c-A-0021-ak-e__1of1__170x85;0.0;2023-05-11
0.068412;6812434_2023__c-A-0021-ak-e__1of1__170x85_0;6.8566328395;2023-05-11
0.0069751;2018.04.01_PRINT_TEST_AdobeRGB_70,4x50,4_3;0.0;2023-05-11
0.213358;6812436_2023__b-A-0073-b-p__1of5__20x30;15.3159176321;2023-05-11
0.1013783;6813064_2023__AKG_2-R41-B20-1511-1__1of1;0.0;2023-05-11
0.0210594;6813064_2023__AKG_2-R41-B20-1511-1__1of1;0.0;2023-05-11
0.045192;6813064_2023__AKG_2-R41-B20-1511-1__1of1;4.4542920235;2023-05-11
0.0363863;6811045_2023__g-C-0328-ak-h__1of1__270x135;0.0;2023-05-11
0.164583;6811045_2023__g-C-0328-ak-h__1of1__270x135;9.6885033092;2023-05-11
0.008629;2018.04.01_PRINT_TEST_AdobeRGB_70,4x50,4_3;0.35679424;2023-05-11
0.7473176;6808988_2023__g-C-0269-ak-e__1of1__270x135;0.0;2023-05-11
0.079557;6808988_2023__g-C-0269-ak-e__1of1__270x135;5.7546060332;2023-05-11
0.02625;6813858_2023__b-A-0784-b-a__1of1;2.136738043;2023-05-11
0.589224;6813425_2023__i-C-0025-ak-e__1of1__160x80;47.249442252;2023-05-11
0.29826;6815086_2023__0044__1of1;0.0;2023-05-15
0.316089;6815086_2023__0044__1of1;23.3613484885;2023-05-15
0.1583384;6814620_2023__a-A-0004-b-n__5of5;0.0;2023-05-15
0.180576;6814620_2023__a-A-0004-b-n__5of5;0.0;2023-05-15
0.251442;6814620_2023__a-A-0004-b-n__5of5;20.8909324056;2023-05-15
0.0717203;6814728_2023__c-C-0380-ak-e__1of1__160x80;0.0;2023-05-15
0.511295;6816129_2023__b-B-0213-b-a__1of1;39.5460329004;2023-05-15
0.560174;6816612_2023__a-A-0888-b-a__1of1;41.1774117844;2023-05-15
0.080916;6816059_2023__i-C-0104-ak-e__1of1__160x80;5.066371897;2023-05-15
0.064694;CMYK_1;3.0166449167;2023-05-15
0.454169;6818006_2023__k-A-0093-b-a__1of1;37.6398628192;2023-05-15
0.281624;6817819_2023__a-B-0081-b-m__1of5;21.8873239548;2023-05-15
0.269163;6815578_2023__b-C-0169-ak-f__1of1__270x135;23.2473196997;2023-05-15
0.0318098;6818123_2023__c-C-0406-ak-a__1of1__165x110;0.0;2023-05-15
0.21669;6818131_2023__l-A-0035-b-m__1of5__45x90;15.741222216;2023-05-16
0.1440806;6817139_2023__c-B-0258-ak-e__1of1__170x85;10.2078429264;2023-05-16
0.2752807;6817660_2023__k-A-0104-ak-g__1of1__200x100;17.8561281039;2023-05-16
0.263234;6819280_2023__a-B-10026-b-a__1of1;23.8359905632;2023-05-16
0.3457925;6819305_2023__i-C-0091-b-b__1of1;0.0;2023-05-16
0.401217;6819181_2023__c-B-0044-b-c__1of1__135x45;25.3135039361;2023-05-16
0.414882;6820156_2023__m-C-0251-b-p__1of5__45x67,5;31.4354470242;2023-05-16
